username,password,isAdmin
admin,admin,True
user1,password1,False
user2,password2,False
user38bbq,"TX""'P&j""2*kN",False
userybsh2,\d4dL}e@n%>.,False
user8ttuz,.<u)/eq}'`;J,False
userff9eo,D1FfixdPa*|>,False
userkfzsh,n2/@S@dQ#uR*,False
userr92te,"D;Wh'o""Ja2Qx",False
useraybbx,-khup1mZUpFt,False
user4kyag,ln[47'+_fS8i,False
userqklcq,a0io!0^J6]XE,False
usertaf4e,"PEu(kh7Qz,Ec",False
usera4hgg,@Z.P]Mgp.Ta;,False
userhxeul,dH|V/NkBtbNz,False
userffged,ei;AfWUc=AKS,False
user3892t,O.%yq@dG;^]`,False
userpy4bo,"""_$_eK`04~&d",False
userbea10,"apmQ5t,@_l&W",False
usertwk2x,"\T88x-,Wofm3",False
userrvbik,"9_{!]>""iEK+K",False
userrbt0x,YjG2`C{:<Ly+,False
usergm9rx,hD-P\mSn0U1!,False
